title,text,first_name,last_name,email,age,site_type
Y111,Meow! Meow!!!,Jared,Winter,jared.winter@pnc.com,20,Thorntons
U126,"More, more and more.",Jared,Winter,jaredwinter2023@outlook.com,61,Sheetz
O547,"Idk, something about something about something.",Tyler,Winter,tylerdude2000@hotmaill.com,5,Sheetz
N767,Something,Jared,Winter,jaredwinter2023@outlook.com,60,Thorntons
N523,"Hey, what's up?",Timmy,Two-Shoes,timmy2shoes@gmail.com,4,Sheetz
M173,Some info goes here.,Jared,Winter,jaredwinter2023@outlook.com,56,Wawa
L173,More of the stuff.,Jared,Winter,jaredwinter2023@outlook.com,19,Wawa
I111,"I like stuff, and I cannot lie.",Jared,Winter,jaredwinter2023@outlook.com,36,Wawa
H717,I like Gundam stuff.,Jared,Winter,jwinternet@outlook.com,36,Verizon
B462,Happy hour!,Jared,Winter,jaredwinter2013@gmail.com,70,Wawa
